Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,04-12-2016,1,327,346
1927972279,04-12-2016,3,750,775
2026352035,04-12-2016,1,503,546
3977333714,04-12-2016,1,274,469
4020332650,04-12-2016,1,501,541
4445114986,04-12-2016,2,429,457
4702921684,04-12-2016,1,425,439
5553957443,04-12-2016,1,441,464
5577150313,04-12-2016,1,419,438
6962181067,04-12-2016,1,366,387
7086361926,04-12-2016,1,514,525
8378563200,04-12-2016,1,338,356
8792009665,04-12-2016,1,458,493
1503960366,4/13/2016,2,384,407
1927972279,4/13/2016,1,398,422
2026352035,4/13/2016,1,531,565
2347167796,4/13/2016,1,467,531
3977333714,4/13/2016,2,295,456
4445114986,4/13/2016,2,370,406
4702921684,4/13/2016,2,400,430
5553957443,4/13/2016,2,455,488
5577150313,4/13/2016,1,432,458
6775888955,4/13/2016,1,235,260
6962181067,4/13/2016,3,630,679
7086361926,4/13/2016,1,451,465
8378563200,4/13/2016,2,447,487
8792009665,4/13/2016,1,531,552
2026352035,4/14/2016,1,545,568
2347167796,4/14/2016,1,445,489
3977333714,4/14/2016,1,291,397
4319703577,4/14/2016,1,535,557
4445114986,4/14/2016,1,441,492
4702921684,4/14/2016,1,384,415
5553957443,4/14/2016,1,357,418
5577150313,4/14/2016,1,477,497
6775888955,4/14/2016,1,423,441
6962181067,4/14/2016,2,508,535
7086361926,4/14/2016,1,472,476
8378563200,4/14/2016,1,424,455
8792009665,4/14/2016,1,486,503
1503960366,4/15/2016,1,412,442
1844505072,4/15/2016,1,644,961
1927972279,4/15/2016,2,475,499
2026352035,4/15/2016,1,523,573
2347167796,4/15/2016,1,452,504
3977333714,4/15/2016,1,424,556
4319703577,4/15/2016,1,465,491
4388161847,4/15/2016,1,499,526
4445114986,4/15/2016,2,337,379
4702921684,4/15/2016,1,253,257
5553957443,4/15/2016,1,377,409
5577150313,4/15/2016,1,392,413
6775888955,4/15/2016,1,391,406
6962181067,4/15/2016,1,370,386
7086361926,4/15/2016,1,377,386
8378563200,4/15/2016,1,513,533
8792009665,4/15/2016,1,363,377
1503960366,4/16/2016,2,340,367
2026352035,4/16/2016,1,524,567
3977333714,4/16/2016,1,283,510
4020332650,4/16/2016,1,77,77
4319703577,4/16/2016,1,506,522
4388161847,4/16/2016,2,426,448
4445114986,4/16/2016,1,462,499
4702921684,4/16/2016,2,382,406
5553957443,4/16/2016,2,651,686
5577150313,4/16/2016,1,406,445
6117666160,4/16/2016,1,380,398
6962181067,4/16/2016,1,357,366
7007744171,4/16/2016,1,79,82
8378563200,4/16/2016,2,611,689
1503960366,4/17/2016,1,700,712
2026352035,4/17/2016,1,437,498
2347167796,4/17/2016,1,556,602
3977333714,4/17/2016,1,381,566
4388161847,4/17/2016,2,619,641
4445114986,4/17/2016,1,98,107
4702921684,4/17/2016,1,591,612
5553957443,4/17/2016,1,350,402
5577150313,4/17/2016,1,549,583
6117666160,4/17/2016,2,336,350
6962181067,4/17/2016,1,427,446
8378563200,4/17/2016,2,525,591
2347167796,4/18/2016,1,500,557
3977333714,4/18/2016,2,412,522
4319703577,4/18/2016,1,515,551
4388161847,4/18/2016,1,99,104
4702921684,4/18/2016,1,293,312
5553957443,4/18/2016,2,520,541
5577150313,4/18/2016,1,527,553
6117666160,4/18/2016,2,493,510
6962181067,4/18/2016,1,442,458
8378563200,4/18/2016,1,398,451
1503960366,4/19/2016,1,304,320
2026352035,4/19/2016,1,498,540
2347167796,4/19/2016,1,465,514
3977333714,4/19/2016,1,219,395
4319703577,4/19/2016,2,461,498
4388161847,4/19/2016,1,329,338
4445114986,4/19/2016,2,388,424
4702921684,4/19/2016,1,457,487
5553957443,4/19/2016,1,357,410
5577150313,4/19/2016,1,449,465
6117666160,4/19/2016,1,465,492
6962181067,4/19/2016,1,476,535
7086361926,4/19/2016,1,472,483
8378563200,4/19/2016,1,387,421
1503960366,4/20/2016,1,360,377
2026352035,4/20/2016,1,461,510
3977333714,4/20/2016,2,152,305
4319703577,4/20/2016,1,523,543
4388161847,4/20/2016,1,421,451
4445114986,4/20/2016,1,439,462
4702921684,4/20/2016,1,454,468
5553957443,4/20/2016,1,658,678
5577150313,4/20/2016,1,447,480
6117666160,4/20/2016,1,474,502
6962181067,4/20/2016,1,418,424
7086361926,4/20/2016,1,492,502
8053475328,4/20/2016,1,486,493
8378563200,4/20/2016,1,381,409
8792009665,4/20/2016,1,528,547
1503960366,4/21/2016,1,325,364
2026352035,4/21/2016,1,477,514
2347167796,4/21/2016,1,460,484
3977333714,4/21/2016,1,332,512
4319703577,4/21/2016,1,59,65
4388161847,4/21/2016,1,442,458
4445114986,4/21/2016,1,436,469
4558609924,4/21/2016,1,126,137
4702921684,4/21/2016,1,425,434
5553957443,4/21/2016,1,399,431
5577150313,4/21/2016,1,414,437
6117666160,4/21/2016,1,508,550
6962181067,4/21/2016,1,451,457
7086361926,4/21/2016,1,390,411
8378563200,4/21/2016,1,396,417
2026352035,4/22/2016,1,520,545
2347167796,4/22/2016,1,405,461
3977333714,4/22/2016,1,355,476
4319703577,4/22/2016,1,533,550
4388161847,4/22/2016,1,82,85
4445114986,4/22/2016,1,388,417
5553957443,4/22/2016,1,322,353
5577150313,4/22/2016,1,338,366
6117666160,4/22/2016,1,480,546
6962181067,4/22/2016,1,425,435
7086361926,4/22/2016,1,428,448
8378563200,4/22/2016,1,441,469
8792009665,4/22/2016,1,391,407
1503960366,4/23/2016,1,361,384
2026352035,4/23/2016,1,522,554
2320127002,4/23/2016,1,61,69
2347167796,4/23/2016,1,374,386
3977333714,4/23/2016,1,235,372
4319703577,4/23/2016,1,692,722
4388161847,4/23/2016,1,478,501
4702921684,4/23/2016,1,465,475
5553957443,4/23/2016,2,631,725
5577150313,4/23/2016,1,384,402
6117666160,4/23/2016,1,492,539
6962181067,4/23/2016,1,528,546
8053475328,4/23/2016,1,331,337
8378563200,4/23/2016,1,565,591
8792009665,4/23/2016,1,339,360
1503960366,4/24/2016,1,430,449
2026352035,4/24/2016,1,555,591
2347167796,4/24/2016,1,442,459
3977333714,4/24/2016,1,310,526
4319703577,4/24/2016,1,467,501
4388161847,4/24/2016,3,552,595
4702921684,4/24/2016,1,480,506
5553957443,4/24/2016,2,553,640
5577150313,4/24/2016,1,543,615
6117666160,4/24/2016,1,353,367
6962181067,4/24/2016,1,511,514
7086361926,4/24/2016,1,681,704
8378563200,4/24/2016,1,458,492
1503960366,4/25/2016,1,277,323
2026352035,4/25/2016,1,506,531
2347167796,4/25/2016,1,433,471
3977333714,4/25/2016,1,262,467
4319703577,4/25/2016,1,488,506
4445114986,4/25/2016,1,328,345
4702921684,4/25/2016,1,370,380
5553957443,4/25/2016,1,433,468
5577150313,4/25/2016,1,421,461
6962181067,4/25/2016,1,400,415
7086361926,4/25/2016,1,446,447
8378563200,4/25/2016,1,388,402
1503960366,4/26/2016,1,245,274
1927972279,4/26/2016,1,296,315
2347167796,4/26/2016,1,436,490
3977333714,4/26/2016,1,250,371
4319703577,4/26/2016,1,505,516
4388161847,4/26/2016,1,319,346
4445114986,4/26/2016,2,353,391
4558609924,4/26/2016,1,103,121
4702921684,4/26/2016,1,421,429
5553957443,4/26/2016,1,412,453
5577150313,4/26/2016,1,354,377
6962181067,4/26/2016,1,441,446
7086361926,4/26/2016,1,485,500
8378563200,4/26/2016,1,550,584
2026352035,4/27/2016,1,508,545
2347167796,4/27/2016,1,448,499
3977333714,4/27/2016,1,349,540
4319703577,4/27/2016,1,286,307
4388161847,4/27/2016,1,439,500
4445114986,4/27/2016,1,332,374
4702921684,4/27/2016,1,432,449
5553957443,4/27/2016,1,347,391
5577150313,4/27/2016,1,424,452
6117666160,4/27/2016,1,542,557
6962181067,4/27/2016,1,455,467
7086361926,4/27/2016,1,469,479
8378563200,4/27/2016,1,531,600
8792009665,4/27/2016,1,423,428
1503960366,4/28/2016,1,366,393
1927972279,4/28/2016,1,166,178
2026352035,4/28/2016,1,513,545
2347167796,4/28/2016,1,408,450
3977333714,4/28/2016,1,261,423
4319703577,4/28/2016,1,497,522
4388161847,4/28/2016,1,428,458
4445114986,4/28/2016,1,419,442
4702921684,4/28/2016,1,442,461
5553957443,4/28/2016,1,421,457
5577150313,4/28/2016,1,361,372
6117666160,4/28/2016,1,393,416
6962181067,4/28/2016,1,440,453
7086361926,4/28/2016,1,354,367
8378563200,4/28/2016,1,506,556
8792009665,4/28/2016,1,402,416
1503960366,4/29/2016,1,341,354
1644430081,4/29/2016,1,119,127
2026352035,4/29/2016,1,490,510
2347167796,4/29/2016,1,411,473
3977333714,4/29/2016,1,333,478
4319703577,4/29/2016,1,523,546
4445114986,4/29/2016,1,106,108
4558609924,4/29/2016,1,171,179
4702921684,4/29/2016,1,433,447
5553957443,4/29/2016,1,450,495
5577150313,4/29/2016,1,459,485
6117666160,4/29/2016,1,600,636
6962181067,4/29/2016,1,433,447
8378563200,4/29/2016,1,527,562
8792009665,4/29/2016,1,398,406
1503960366,4/30/2016,1,404,425
1644430081,4/30/2016,1,124,142
1844505072,4/30/2016,1,722,961
2026352035,4/30/2016,1,573,607
3977333714,4/30/2016,1,237,382
4319703577,4/30/2016,1,490,516
4388161847,4/30/2016,2,409,430
4445114986,4/30/2016,1,322,353
4702921684,4/30/2016,1,479,501
5553957443,4/30/2016,2,775,843
5577150313,4/30/2016,1,412,433
6962181067,4/30/2016,1,422,424
7086361926,4/30/2016,1,485,489
8378563200,4/30/2016,1,468,555
8792009665,4/30/2016,1,343,360
1503960366,05-01-2016,1,369,396
1844505072,05-01-2016,1,590,961
2026352035,05-01-2016,1,527,546
3977333714,05-01-2016,1,383,626
4319703577,05-01-2016,1,484,500
4388161847,05-01-2016,1,547,597
4445114986,05-01-2016,2,439,459
4558609924,05-01-2016,1,115,129
5553957443,05-01-2016,2,622,686
5577150313,05-01-2016,1,379,398
6117666160,05-01-2016,1,507,575
6962181067,05-01-2016,1,411,426
7007744171,05-01-2016,1,58,61
7086361926,05-01-2016,1,388,407
8378563200,05-01-2016,1,475,539
8792009665,05-01-2016,1,503,527
1503960366,05-02-2016,1,277,309
1644430081,05-02-2016,1,796,961
2026352035,05-02-2016,1,511,543
3977333714,05-02-2016,1,230,384
4319703577,05-02-2016,1,478,506
4388161847,05-02-2016,2,368,376
4445114986,05-02-2016,1,502,542
5553957443,05-02-2016,1,409,471
5577150313,05-02-2016,2,525,553
6962181067,05-02-2016,1,466,482
7086361926,05-02-2016,1,440,459
8378563200,05-02-2016,1,351,385
8792009665,05-02-2016,1,415,423
1503960366,05-03-2016,1,273,296
3977333714,05-03-2016,1,292,500
4020332650,05-03-2016,1,322,332
4319703577,05-03-2016,1,474,512
4445114986,05-03-2016,2,417,450
4702921684,05-03-2016,1,327,373
5553957443,05-03-2016,1,380,429
5577150313,05-03-2016,1,508,543
6962181067,05-03-2016,1,394,418
7086361926,05-03-2016,1,456,461
8378563200,05-03-2016,1,405,429
8792009665,05-03-2016,1,516,545
2026352035,05-04-2016,1,538,560
3977333714,05-04-2016,1,213,336
4020332650,05-04-2016,1,478,536
4388161847,05-04-2016,1,390,414
4445114986,05-04-2016,2,337,363
4702921684,05-04-2016,1,412,434
5553957443,05-04-2016,1,447,470
5577150313,05-04-2016,1,603,634
6962181067,05-04-2016,1,442,455
7086361926,05-04-2016,1,420,436
8378563200,05-04-2016,1,441,477
8792009665,05-04-2016,1,439,463
1503960366,05-05-2016,1,247,264
2026352035,05-05-2016,1,468,485
3977333714,05-05-2016,1,318,480
4020332650,05-05-2016,1,226,248
4388161847,05-05-2016,1,471,495
4445114986,05-05-2016,2,462,513
4702921684,05-05-2016,1,414,428
5553957443,05-05-2016,1,419,464
5577150313,05-05-2016,1,74,78
6117666160,05-05-2016,1,392,415
6962181067,05-05-2016,1,467,491
8378563200,05-05-2016,1,381,417
1503960366,05-06-2016,1,334,367
2026352035,05-06-2016,1,524,548
3977333714,05-06-2016,1,323,512
4020332650,05-06-2016,1,385,408
4319703577,05-06-2016,1,450,491
4445114986,05-06-2016,2,374,402
4702921684,05-06-2016,1,404,449
5553957443,05-06-2016,1,400,434
6117666160,05-06-2016,2,658,698
6962181067,05-06-2016,1,443,462
7086361926,05-06-2016,1,322,333
8378563200,05-06-2016,1,323,355
1503960366,05-07-2016,1,331,349
2026352035,05-07-2016,1,511,521
3977333714,05-07-2016,1,237,443
4319703577,05-07-2016,1,507,530
4388161847,05-07-2016,1,472,496
4445114986,05-07-2016,2,401,436
4702921684,05-07-2016,1,520,543
5553957443,05-07-2016,1,442,470
6117666160,05-07-2016,2,498,507
6962181067,05-07-2016,1,298,334
7086361926,05-07-2016,1,530,548
8053475328,05-07-2016,1,74,75
8378563200,05-07-2016,2,459,513
1503960366,05-08-2016,1,594,611
1644430081,05-08-2016,1,137,154
2026352035,05-08-2016,1,541,568
3977333714,05-08-2016,2,259,456
4020332650,05-08-2016,1,364,402
4319703577,05-08-2016,1,602,638
4388161847,05-08-2016,2,529,541
4445114986,05-08-2016,1,361,391
4558609924,05-08-2016,1,123,134
5553957443,05-08-2016,1,568,608
6117666160,05-08-2016,1,555,603
6962181067,05-08-2016,1,541,569
7086361926,05-08-2016,1,481,510
8378563200,05-08-2016,1,545,606
1503960366,05-09-2016,1,338,342
2026352035,05-09-2016,1,531,556
4319703577,05-09-2016,1,535,565
4388161847,05-09-2016,1,62,65
4445114986,05-09-2016,1,457,533
4702921684,05-09-2016,1,435,458
5553957443,05-09-2016,1,453,494
6117666160,05-09-2016,1,492,522
6962181067,05-09-2016,1,489,497
7086361926,05-09-2016,1,427,438
8378563200,05-09-2016,1,359,399
1503960366,05-10-2016,1,383,403
2026352035,05-10-2016,1,357,380
3977333714,05-10-2016,1,312,452
4020332650,05-10-2016,1,442,494
4319703577,05-10-2016,1,487,517
4388161847,05-10-2016,1,354,375
4445114986,05-10-2016,1,405,426
4702921684,05-10-2016,1,416,431
5553957443,05-10-2016,1,418,443
5577150313,05-10-2016,1,504,562
6962181067,05-10-2016,1,469,481
8378563200,05-10-2016,1,342,391
1503960366,05-11-2016,1,285,306
2026352035,05-11-2016,1,523,553
4319703577,05-11-2016,1,529,558
4388161847,05-11-2016,1,469,494
4445114986,05-11-2016,1,499,530
4702921684,05-11-2016,1,354,366
5553957443,05-11-2016,1,463,486
5577150313,05-11-2016,1,431,476
6962181067,05-11-2016,1,452,480
7086361926,05-11-2016,1,451,463
8378563200,05-11-2016,1,368,387
2026352035,05-12-2016,1,456,485
4319703577,05-12-2016,1,302,321
4445114986,05-12-2016,1,483,501
4702921684,05-12-2016,1,404,442
5553957443,05-12-2016,1,438,475
6962181067,05-12-2016,1,516,535
7086361926,05-12-2016,1,444,457
8378563200,05-12-2016,1,496,546
